itemID,X846,X311,X94,X276,X222,X450,X59,X7,X378,X712,X864,X293,X618,X303,X308,X682,X429,X95,X194,X796,user_405_rating
810,3,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
727,4,0,5,3,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1
417,4,3,3,4,0,4,0,3,3,4,0,0,0,0,3,0,0,3,2,4,2
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,0,0,5,5,4,1,0,5,0,0,2,0,2,0,2,0,3,0,0,0,4
1090,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,1
43,0,4,0,1,0,4,0,0,3,0,3,0,0,3,0,0,0,2,0,4,1
790,0,0,0,3,1,2,0,0,0,4,0,0,3,4,0,3,0,0,1,0,1
1297,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
54,3,4,4,3,4,4,4,3,4,0,4,3,3,3,2,4,0,0,3,4,2
571,0,0,0,2,2,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,5
541,0,0,3,3,2,0,0,2,0,0,2,0,0,3,0,3,0,0,0,0,1
1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1109,3,0,0,3,0,0,3,0,0,0,4,0,0,4,0,0,2,0,0,0,1
1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,0,0,0,5,0,5,4,0,0,0,5,0,0,0,5,0,0,0,0,0,1
530,5,3,0,0,0,3,0,5,0,0,0,0,0,0,4,0,4,0,4,3,1
1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210,5,5,4,4,4,3,4,4,4,5,4,3,3,4,4,4,4,5,3,3,5
1438,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1
956,0,0,0,0,0,4,0,0,3,0,0,3,0,4,0,0,0,0,0,0,2
380,3,4,3,3,4,5,3,4,3,0,3,2,0,0,0,4,3,0,1,0,2
387,3,4,0,3,0,5,3,3,4,0,0,0,0,5,0,0,4,0,2,3,1
582,0,0,0,3,0,4,4,5,5,0,0,4,4,4,3,1,3,0,1,0,3
86,5,5,5,3,0,4,3,4,4,0,4,0,0,0,0,2,5,0,3,5,1
516,4,0,0,0,0,5,4,0,0,0,0,0,0,0,4,0,0,0,3,4,1
63,3,3,3,3,3,4,0,0,3,4,3,0,0,1,0,0,2,3,0,3,3
726,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
168,5,4,5,5,4,5,5,5,0,2,4,4,5,5,4,5,5,4,5,5,1
135,4,4,4,5,5,3,5,5,2,0,0,5,4,0,5,4,0,3,3,0,5
1209,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,3
1471,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,3,1,4,4,4,0,2,4,2,0,0,3,3,4,4,5,3,4,0,0,1
1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
501,0,5,4,4,2,4,1,5,4,3,3,4,4,4,4,0,0,0,3,0,3
467,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,3,4,0,5,3,4
526,4,5,0,4,0,4,4,5,0,0,4,0,5,0,3,0,0,0,4,0,1
693,5,0,4,4,4,3,0,0,4,0,4,4,3,4,3,3,4,0,4,3,2
179,5,2,5,5,0,5,5,5,2,0,0,4,0,5,4,4,3,3,4,0,1
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,4,0,5,0,0,0,4,4,5,0,4,0,3,0,0,0,4,4,4,0,1
798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1479,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
738,4,0,2,0,3,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,1
638,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1
388,3,0,0,2,2,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,4
858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,4,4,3,5,4,4,5,5,3,3,4,3,3,4,5,4,4,5,3,5,5
1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
402,0,4,4,3,4,4,4,5,4,4,3,2,0,4,4,0,0,3,3,5,3
640,1,0,0,4,0,0,5,3,0,0,0,0,0,0,4,0,3,3,1,0,1
1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
731,3,0,3,0,0,3,0,0,3,5,0,0,2,0,0,0,0,0,0,3,3
