itemID,title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Film_Noir,Horror,Musical,Mystery,Romance,Sci_Fi,Thriller,War,Western,No_Genre,avg_rating,rating
1,"Toy Story (1995)",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8783,2
2,"GoldenEye (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.2061,3
4,"Get Shorty (1995)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5502,2
5,"Copycat (1995)",0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,3.3023,2
6,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5769,4
8,"Babe (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9954,3
9,"Dead Man Walking (1995)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8963,3
12,"Usual Suspects, The (1995)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.3858,3
13,"Mighty Aphrodite (1995)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.4185,3
15,"Mr. Holland's Opus (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7782,3
20,"Angels and Insects (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.4167,3
21,"Muppet Treasure Island (1996)",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.7619,2
22,"Braveheart (1995)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.1515,2
23,"Taxi Driver (1976)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4.1209,3
25,"Birdcage, The (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4437,3
26,"Brothers McMullen, The (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4521,3
27,"Bad Boys (1995)",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.1053,3
28,"Apollo 13 (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9312,3
31,"Crimson Tide (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.6299,3
32,"Crumb (1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7901,4
36,"Mad Love (1995)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.1538,2
38,"Net, The (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0083,2
42,"Clerks (1994)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8041,3
43,"Disclosure (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0000,3
46,"Exotica (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5556,4
47,"Ed Wood (1994)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6015,3
48,"Hoop Dreams (1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0940,4
49,"I.Q. (1994)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.3210,1
51,"Legends of the Fall (1994)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.4568,2
52,"Madness of King George, The (1994)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7692,3
53,"Natural Born Killers (1994)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.9531,2
54,"Outbreak (1995)",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3.2404,2
56,"Pulp Fiction (1994)",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0609,3
57,"Priest (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0000,3
58,"Quiz Show (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6457,3
64,"Shawshank Redemption, The (1994)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4452,4
65,"What's Eating Gilbert Grape (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5391,2
66,"While You Were Sleeping (1995)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5494,2
69,"Forrest Gump (1994)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3.8536,3
70,"Four Weddings and a Funeral (1994)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6614,2
76,"Carlito's Way (1993)",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4074,3
77,"Firm, The (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.2781,3
79,"Fugitive, The (1993)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0446,5
81,"Hudsucker Proxy, The (1994)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5545,3
82,"Jurassic Park (1993)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.7203,2
86,"Remains of the Day, The (1993)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.9400,4
87,"Searching for Bobby Fischer (1993)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9058,3
88,"Sleepless in Seattle (1993)",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.5399,2
89,"Blade Runner (1982)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.1382,4
92,"True Romance (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6154,3
93,"Welcome to the Dollhouse (1995)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7232,3
96,"Terminator 2: Judgment Day (1991)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0068,3
97,"Dances with Wolves (1990)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.7930,3
98,"Silence of the Lambs, The (1991)",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.2897,4
100,"Fargo (1996)",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4.1555,3
